Công ty,Hình ảnh logo,Giới thiệu công ty,Quy mô công ty,Quốc Gia,Website công ty,Tagline,Lĩnh vực công ty,Địa chỉ công ty
Viettel Digital,https://assets.topdev.vn/images/2022/01/24/TopDev-Asset-15-1643008749.png,"Viettel Digital – Tổng Công ty thành viên thứ 8 của Tập đoàn Công nghiệp – Viễn thông Quân đội Sự ra đời của Tổng Công ty nhằm tạo nền móng cho quá trình chuyển dịch số, thực hiện chiến lược phát triển của Viettel trong giai đoạn mới – giai đoạn Kiến tạo xã hội số. Từ nay tới 2025, Tổng Công ty đặt hai mục tiêu trọng tâm lớn: Có 26 triệu khách hàng trên hệ sinh thái; phát triển 600.000 điểm chấp nhận thanh toán & cung cấp dịch vụ. Sứ mệnh của chúng tôi Phổ cập dịch vụ số từ thành thị tới nông thôn Bùng nổ thanh toán số với phương thức Mobile Banking Là nền tảng, hạ tầng tài chính số - thương mại số Góp phần giữ gìn nền kinh tế nước nhà Sản phẩm của chúng tôi Lĩnh vực tài chính số: Hệ sinh thái và ngân hàng số ViettelPay, ViettelPay Pro, Bank Plus, Mobile Money Lĩnh vực dịch vụ dữ liệu: Triển khai dịch vụ Digital marketing, Quảng cáo số dựa trên dữ liệu điện tử, Big data",500-999,Vietnam,https://digital.viettel.vn/,Theo cách của bạn,Fintech,"Quận Nam Từ Liêm, Hà Nội"
CÔNG TY TNHH MITEK VIỆT NAM,https://assets.topdev.vn/images/2022/04/12/TopDev-5177fd7af46a06086b37826de40035fa-1649746004.png,"MiTek® is a global company focused on providing integrated software, services, engineered products and automated solutions for the building industry worldwide. Innovating and expanding into aspects of global building, MiTek® empowers customers to improve the way they design, make and build. Join MiTek and work on software used around the world! The MiTek Vietnam software team is looking to grow and we want you!  We can give you the opportunity to work on large existing software used around the world where you can expand your skillset and work with many different technologies.",Over 1000,United States,https://mitekvietnam.com.vn/vi,Better Technology. Better Building,"Product, Software, B2B Services","Quận 7, Hồ Chí Minh"
Resonance Technology,https://assets.topdev.vn/images/2024/06/13/TopDev-resonance-1718250407.png,"Resonance Technology Resonance Technology researches, develops, and scales Saas businesses on a global scale. We are structured to optimize and grow the portfolio products through developing methods that maximize the efficiency of manufacturing software processes and minimize its cost, labor, and waste. We are looking for people that are hungry to learn, with ambition to tackle global scale challenges, and enjoy success together. Resonance Tech currently develop and expand WriterZen - A consolidated digital content platform for inbound marketing, despite being an early product, it has garther global interest and successfully reached 5000+ global paid users, with ~300+ 5 stars ratings across all independent 3rd party software review platforms in 2.5 months. WriterZen was ranked top 10th on G2 as highest rated SEO software for 2021 and was featured on multiple renounced publications like Mashable, PC World and VentureBeat.",25-99,Vietnam,resonancetech.co,Resonance Technology,Product,"Quận Tân Bình, Hồ Chí Minh"
Globaltech,https://assets.topdev.vn/images/2022/03/11/TopDev-GlobalTech-Logo-1646984495.png,"GlobalTech là nơi hội tụ cùng phát triển của đội ngũ có lý tưởng tốt đẹp, có năng lực vững vàng, khao khát chung tay tạo nên những nền tảng công nghệ để phục vụ cho sự phát triển của doanh nghiệp và cộng đồng. Môi trường làm việc của GlobalTech là tập trung, linh hoạt và hiệu quả cao; Văn hóa của GlobalTech là đề cao tinh thần tự cường, tuân thủ kỷ luật, ghi nhận xứng đáng nỗ lực, tôn trọng lẫn nhau; đòi hỏi Người GlobalTech phải luôn nỗ lực để không ngừng tạo ra giá trị bền vững, nâng cấp bản thân liên tục, phấn đấu trở thành tấm gương truyền động lực, lan tỏa giá trị tốt đẹp tới cộng đồng, xã hội.",25-99,Vietnam,https://globaltechjsc.com/,Gia tăng năng lực khách hàng,Phần Mềm,"Quận Phú Nhuận, Hồ Chí Minh"
SECOMUS Technology,https://assets.topdev.vn/images/2023/11/01/TopDev-d9f7bd6016354fede2bb4b8c9844e1e5-1698802266.png,"Secomus là Cty Công Nghệ, hiện đang phát triển các dự án lớn phục vụ các website thương mại điện tử trên nền tảng Shopify cho khách hàng từ Mỹ, Canada và các nước Châu Âu. Gía trị cốt lõi: Ưu tiên khách hàng: Sự hiện diện của Secomus là để giúp đỡ khách hàng bán được nhiều hơn. Vì thế mọi quyết định của chúng tôi đều hướng tới hiệu quả kinh doanh của khách hàng Đa dạng: Mỗi thành viên của Secomus là một chủ thể khác nhau, với những thế mạnh khác nhau. Chúng tôi hiểu rằng sự khác biệt của mỗi cá nhân tạo nên sự thành công của tập thể. Phát triển bản thân: Tôi phát triển bản thân để nắm bắt cơ hội khi tổ chức phát triển. Hôm nay tôi sẽ làm một điều tốt hơn ngày hôm qua. Văn hóa công ty : Đa dạng - Tận tâm - Năng động - Vui vẻ Môi trường làm việc : Trẻ trung, năng động, thoải mái, phát triển nhanh.",100-499,Vietnam,https://www.secomus.com/,Hop To The Top!,E-commerce Platforms,"Quận Cầu Giấy, Hà Nội"
Công ty Cổ phần bGlobal,https://assets.topdev.vn/images/2023/11/10/TopDev-Asset-44%404x---Pham-Thi-Ngan-Ha-1699589213.png,"Công ty Cổ phần bGlobal được hình thành từ nhóm các nhà khoa học CNTT hàng đầu trong các trường Đại học và Viện nghiên cứu tại Việt Nam, và chính thức được thành lập từ năm 2019. Công ty chúng tôi cung cấp 3 dịch vụ chính: Product Outsourcing R&D Công ty luôn nỗ lực tìm tòi, nghiên cứu và xây dựng những giải pháp công nghệ sáng tạo và hiệu quả, giúp khách hàng đạt được những mục tiêu trên con đường hoàn thiện sản phẩm, dịch vụ của mình. Sứ mệnh: Sẵn sàng chấp nhận mọi thử thách và khó khăn, chúng tôi luôn nỗ lực mang đến cho khách hàng những trải nghiệm hài lòng nhất trong thời kỳ mà công nghệ thay đổi không ngừng. Giá trị cốt lõi: Sáng tạo - Cộng tác - Chất lượng là những giá trị cốt lõi trong hoạt động kinh doanh của chúng tôi. Sáng tạo - Môi trường làm việc trẻ trung, năng động nhằm khuyến khích mỗi cá nhân trong công ty phát huy tối đa khả năng của mình bằng việc đề xuất, đưa ra ý tưởng mới lạ, góp phần nâng cao sự phát triển của cả bản thân và công ty. Cộng tác - Làm việc trên tinh thần cùng hợp tác phát triển, mọi ý kiến đóng góp của cán bộ nhân viên đều được tôn trọng, đánh giá công tâm và ghi nhận. Chất lượng - Thống nhất các tiêu chuẩn và các kỳ vọng để tạo lập và không ngừng cải thiện chất lượng trong hoạt động kinh doanh của mình.",25-99,Vietnam,https://bglobalcorp.com/,bGlobal - Make your business attract global customers,"IT Consultant, Triển Khai Phần Mềm, B2B Services","Quận Cầu Giấy, Hà Nội"
Công ty Cổ phần Truyền thông Iris,https://assets.topdev.vn/images/2020/11/09/iris-media-logo.jpg,"CÔNG TY CỔ PHẦN TRUYỀN THÔNG IRIS là doanh nghiệp hoạt động trong lĩnh vực Công nghệ thông tin và Truyền thông . IRIS tự hào là một trong những đơn vị đi đầu phối hợp với các nhà mạng viễn thông tại Việt Nam để cung cấp giải pháp kỹ thuật và nội dung cho các dịch vụ giá trị gia tăng qua mạng điện thoại cố định, di động, internet. Ý thức được tầm quan trọng của môi trường và hiệu suất làm việc, IRIS đã xây dựng và duy trì môi trường năng động, cởi mở. Văn phòng của chúng tôi là một không gian yên tĩnh, rộng rãi, riêng tư và tràn đầy ánh sáng tự nhiên. Bên cạnh đó, nhân viên IRIS đều được cấp trang thiết bị nhỏ gọn, hiện đại nhất để có thể hoàn thành công việc nhanh chóng và thoải mái, phát huy tối đa tinh thần tự chủ, sáng tạo. IRIS giữ vững tinh thần đoàn kết, nhân ái, đề cao tính trung thực, tôn trọng tự do cá nhân nhưng vẫn đảm bảo cạnh tranh công bằng, duy trì hợp tác hiệu quả. Là đơn vị khởi nghiệp trong lĩnh vực công nghệ, chúng tôi luôn nỗ lực mang lại những giải pháp hữu ích nhất cho doanh nghiệp. Giúp cho doanh nghiệp tối ưu được chi phí hoạt động, gia tăng trải nghiệm khách hàng và hòa mình vào xu thế hiện đại hóa 4.0 của thế giới.",25-99,Vietnam,https://irismedia.vn/,Iris - Chia sẻ thành công,Software,"Quận Đống Đa, Hà Nội"
Toshiba Software Development (Vietnam),https://assets.topdev.vn/images/2020/06/02/toshiba-logo-kOi4q.png,non-existent,500-999,Japan,non-existent,"Committed to People, Committed to the Future",Software,"Quận Ba Đình, Hà Nội"
VINHOMES,https://assets.topdev.vn/images/2022/10/10/TopDev-a9d57f18bae26b4c2f57750d32f662c8-1665417282.png,"Vinhomes là công ty đầu tư, kinh doanh và quản lý bất động sản số 1 Việt Nam với quy mô, tốc độ phát triển và chất lượng dịch vụ đẳng cấp, dẫn dắt thị trường bất động sản Việt Nam phát triển bền vững, tiến tới vươn tầm quốc tế. Kế thừa những thành quả về đầu tư công nghệ của Tập đoàn Vingroup, Vinhomes đầu tư vào nghiên cứu, tiến tới ứng dụng các công nghệ số và các giải pháp thông minh trong việc xây dựng, quản lý và vận hành khu đô thị. Trong đó, trí tuệ AI & Internet Vạn vật là hạt nhân trong công cuộc mang tới cuộc cách mạng về giám sát, vận hành khu đô thị theo hướng hiện đại, tiện ích, thông minh thông qua các sản phẩm IOT Khu đô thị thông minh, app cư dân & dự án Digital Transformation. Các sản phẩm ứng dụng trí tuệ nhân tạo đang được triển khai tại các Đại đô thị của Vinhomes (Ocean Park, Smart City, Grand Park). TẦM NHÌN Vinhomes là công ty đầu tư, kinh doanh và quản lý bất động sản số 1 Việt Nam với quy mô, tốc độ phát triển và chất lượng dịch vụ đẳng cấp, dẫn dắt thị trường bất động sản Việt Nam phát triển bền vững, tiến tới vươn tầm quốc tế. SỨ MỆNH Tiên phong mang đến trải nghiệm sống lý tưởng giữa lòng đô thị với những khu dân cư được quy hoạch chuyên nghiệp, tiện ích dịch vụ đồng bộ, môi trường xanh sạch, giúp định hình phong cách sống mới cho người dân Việt Nam. Vinhomes mong muốn kết nối cộng đồng cư dân, xây dựng môi trường sống văn minh, năng động cùng không gian sống xanh, giúp khách hàng tận hưởng cuộc sống tốt đẹp và chất lượng mỗi ngày. Vinhomes là thương hiệu bất động sản số 1 Việt Nam, hoạt động trong lĩnh vực phát triển, chuyển nhượng và vận hành bất động sản",Over 1000,Vietnam,https://vinhomes.vn/vi/tuyen-dung,Vinhomes - Nơi hạnh phúc ngập tràn,Bất động sản,"Quận Long Biên, Hà Nội - Huyện Gia Lâm, Hà Nội - Thành phố Thủ Đức, Hồ Chí Minh"
ISB Vietnam,https://assets.topdev.vn/images/2020/10/20/logoks9b7tnLjWib2H4iltah9OhruH4aFOWK-XJprQ.png,"As an esteemed offshore software development outsourcing company in Vietnam, ISB Vietnam provides the outsourcing services with Passions, Teamwork and Innovations. With quality engineers and expert consultants who are committed to deliver the excellent results, we help enterprises achieve their goals. Keeping our mission to contribute to society in our mind, we serve every and each customer with the great interest in their business and utmost care. Our Business Model: - Outsourcing/Offshoring: + Business Application Development: Finance/Banking/Securities, Business Application/System, Medical System, Web System/Application. + Mobile Development: Mobile/Smartphone App, Middleware/Embedded Software, Protocol Stack/ Communication control, Cloud/Server Application. - Our solutions create sustainable and tangible value to our clients and our success is driven by our people and their strong focus on excellence-by delivering quality solutions through innovative technologies such as CRM, Supply chain, manufacturing, accounting, HRM, core banking, etc. - Standard Certification: ISO/IEC 27001:2013",100-499,"Japan, Vietnam",https://isb-vietnam.com.vn/expertise/?lang=en,ISB Vietnam Company Limited was established in 2003 with 100% investment of ISB Corporation,"Phần Mềm, Outsourcing, Dịch vụ IT","Quận Tân Bình, Hồ Chí Minh"
