Tên job,Tên Công ty,Mức lương,Thương lượng lương,Mô tả công việc,Cấp bậc,Yêu cầu công việc,Quyền lợi,Quy trình phỏng vấn,Công nghệ sử dụng,Cách thức ứng tuyển
JAVA DEVELOPER,Viettel Digital,,1,"Tham gia phát triển các dự án Ngân hàng số (Viettel Pay, Mobile Money, ví cá nhân, ví doanh nghiệp, ...). Cung cấp sản phẩm ứng dụng thanh toán và chuyển tiền với số lượng giao dịch rất lớn, đòi hỏi hiệu năng xử lý cao Xây dựng các hệ thống Tài chính điện tử cho các thị trường nước ngoài mà Viettel đầu tư Tham gia làm rõ nghiệp vụ, thiết kế giải pháp, phát triển nâng cấp hệ thống theo yêu cầu Tham gia review thiết kế, review code, tối ưu hệ thống đáp ứng lưu lượng truy cập cao Nghiên cứu áp dụng công nghệ mới nâng cao chất lượng, tối ưu nguồn lực phát triển","Middle, Senior","Tốt nghiệp đại học loại Khá trở lên, chuyên ngành Công nghệ thông tin, Kỹ sư phần mềm. Đặc biệt ưu tiên các trường Học viện Công nghệ Bưu chính Viễn thông, Đại học Bách khoa Hà Nội, … Tiếng Anh tương đương 550+ TOEIC Ưu tiên ứng viên có từ 02 năm kinh nghiệm Java trở lên Thành thạo Java Core, các framework Java như EE, Spring, Struts, Hibernate ... và một số design pattern thông dụng Tư duy về thiết kế hướng đối tượng và nắm vững kiến thức về cấu trúc dữ liệu và giải thuật, lập trình hướng đối tượng ... Thành thạo SQL, PLSQL, có kiến thức về các hệ quản trị cơ sở dữ liệu Oracle/MySQL, noSQL, có khả năng tối ưu CSDL Ưu tiên có hiểu biết về nghiệp vụ tài chính, có kinh nghiệm về microservices, ham học hỏi tìm tòi sáng tạo cái mới","Thời gian làm việc: 8h00- 17h30 từ thứ 2 tới thứ 6 Địa điểm làm việc: Làm việc tại tòa nhà văn phòng hạng A cao nhất Thủ đô – Keangnam Landmark 72, Phạm Hùng, Nam Từ Liêm, Hà Nội Mức lương thu hút và cạnh tranh, ứng viên thỏa thuận khi tham gia phỏng vấn Chính sách thưởng hấp dẫn: thưởng theo tháng, thưởng quý, thưởng năm, ngày lễ Tết, ... theo quy định chung của Tập đoàn Viettel Đóng BHXH, BHYT, BHTN theo quy định Nhà nước; khám sức khỏe định kỳ hàng năm Cơ hội tiếp xúc với các dự án lớn, mới mẻ & tham gia xây dựng những sản phẩm lớn và có chỗ đứng trên thị trường Fintech Việt Nam Cơ hội thăng tiến rõ ràng với nhiều cấp bậc Cơ hội ứng tuyển thử sức đi học tập và làm việc tại nước ngoài theo các khóa ngắn hạn, dài hạnvvv Công việc luôn thay đổi, thách thức, không thỏa hiệp với sự lỗi thời. Lãnh đạo trẻ trung, biết lắng nghe và sẵn sàng tạo cơ hội để cá nhân phát triển bản thân. Đồng nghiệp thân thiện và nhiệt tình. Nghỉ dưỡng 3 ngày nguyên lương trong năm, hỗ trợ nghỉ dưỡng lên đến 9 triệu/ người Tham gia các hoạt động thể thao văn hóa, team building, Ngày hội Sáng tạo, giải bóng đá, Viettel’s Got Talent, event quý, event năm, event ngày nghỉ lễ tết,… Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngày Thưởng thức bữa trưa được phục vụ ngay tại VDS, được chọn lọc bởi các chuyên gia dinh dưỡng.",non-existent,"['Java', 'Java Core']",apply in https://topdev.vn/detail-jobs/0
PROJECT MANAGER,Viettel Digital,,1,"Lập kế hoạch phát triển dự án, quản trị rủi ro, phân chia công việc, chịu trách nhiệm về dự án trước các stakeholder và các hoạt động của dự án. Tiếp nhận yêu cầu từ bộ phận kinh doanh và các phòng ban khác, tổ chức khảo sát, thống nhất yêu cầu với các bên liên quan Quản lý team dự án, đánh giá/nhận xét năng lực team dự án. Quản lý workload member dự án. Nhận diện/giải quyết vấn đề. Giảm thiểu/ngăn ngừa rủi ro đảm bảo dự án chạy đúng tiến độ. Phối hợp với các stakeholder, báo cáo về tình hình dự án, đề xuất các phương án để dự án chạy thông suốt, đảm bảo chất lượng dự án. Nghiên cứu, đề xuất thay đổi quy trình sản xuất phần mềm (nếu có)",Trưởng Nhóm,"Tốt nghiệp Đại học loại Khá trở lên, ưu tiên chuyên ngành CNTT, Kỹ thuật phần mềm, An toàn thông tin và ngành có liên quan Tiếng Anh tương đương 650+ TOEIC Có kinh nghiệm ít nhất 03 năm ở vị trí quản lý dự án công nghệ thông tin hoặc các dự án tương tự (PM). Ưu tiên các ứng viên có chứng chỉ PMP Có kinh nghiệm quản trị các dự án theo nhiều mô hình khác nhau như Agile, Waterfall Thành thạo các công cụ quản trị dự án và kiểm soát rủi ro Có trách nhiệm cao và thái độ tốt trong công việc Có khả năng làm việc độc lập hoặc làm việc theo nhóm tốt Kỹ năng giao tiếp và trình bày tốt Làm việc dưới áp lực cao, nhạy bén và tiếp thu nhanh. Ưu tiên ứng viên có thể đi làm ngay hoặc có thể xem xét nhận việc sau tết Tư duy logic và giao tiếp tốt, sáng tạo trong công việc","Thời gian làm việc: 8h00- 17h30 từ thứ 2 tới thứ 6 Địa điểm làm việc: Làm việc tại tòa nhà văn phòng hạng A cao nhất Thủ đô – Keangnam Landmark 72, Phạm Hùng, Nam Từ Liêm, Hà Nội Mức lương thu hút và cạnh tranh, ứng viên thỏa thuận khi tham gia phỏng vấn Chính sách thưởng hấp dẫn: thưởng theo tháng, thưởng quý, thưởng năm, ngày lễ Tết, ... theo quy định chung của Tập đoàn Viettel Đóng BHXH, BHYT, BHTN theo quy định Nhà nước; khám sức khỏe định kỳ hàng năm Cơ hội tiếp xúc với các dự án lớn, mới mẻ & tham gia xây dựng những sản phẩm lớn và có chỗ đứng trên thị trường Fintech Việt Nam Cơ hội thăng tiến rõ ràng với nhiều cấp bậc Cơ hội ứng tuyển thử sức đi học tập và làm việc tại nước ngoài theo các khóa ngắn hạn, dài hạnvvv Công việc luôn thay đổi, thách thức, không thỏa hiệp với sự lỗi thời. Lãnh đạo trẻ trung, biết lắng nghe và sẵn sàng tạo cơ hội để cá nhân phát triển bản thân. Đồng nghiệp thân thiện và nhiệt tình. Nghỉ dưỡng 3 ngày nguyên lương trong năm, hỗ trợ nghỉ dưỡng lên đến 9 triệu/ người Tham gia các hoạt động thể thao văn hóa, team building, Ngày hội Sáng tạo, giải bóng đá, Viettel’s Got Talent, event quý, event năm, event ngày nghỉ lễ tết,… Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngày Thưởng thức bữa trưa được phục vụ ngay tại VDS, được chọn lọc bởi các chuyên gia dinh dưỡng.",non-existent,['Project Manager'],apply in https://topdev.vn/detail-jobs/1
Solution Architect,Viettel Digital,,1,"Phân tích yêu cầu kỹ thuật của sản phẩm, lựa chọn công nghệ và xây dựng kiến trúc hệ thống cho sản phẩm và hệ thống nội bộ của công ty Đánh giá cấu trúc hệ thống hiện tại, đề xuất các giải pháp để cải thiện hệ thống, giám sát và hướng dẫn team dev thực hiện các giải pháp đưa ra Phân tích yêu cầu dự án, thiết kế giải pháp cho từng dự án cụ thể Giải quyết các vấn đề kỹ thuật phát sinh Nghiên cứu các công nghệ hiện và đề xuất thay đổi khi cần thiết","Middle, Senior","Tốt nghiệp Đại học loại Khá trở lên, chuyên ngành Công nghệ thông tin, Kỹ sư phần mềm hoặc các ngành liên quan. Ưu tiên tốt nghiệp từ trường Đại học Bách khoa Hà Nội, Đại học Công nghệ, Học viện Công nghệ Bưu chính Viễn thông,... Tiếng Anh: tương đương 650+ TOEIC Có ít nhất 02 năm kinh nghiệm ở vị trí Solution Architect, Solution Design hoặc các vị trí tương đương. Ưu tiên có kinh nghiệm thiết kế các hệ thống lớn, đặc biệt là các hệ thống tài chính - ngân hàng Sở hữu ít nhất 03 năm kinh nghiệm Software Developer (ưu tiên các Developer sử dụng ngôn ngữ Java, JavaScript) Hiểu biết và nắm vững quy trình phát triển phần mềm Am hiểu các hệ điều hành và cơ sở dữ liệu khác nhau Yêu thích tìm hiểu công nghệ, cập nhật xu hướng công nghệ mới và có khả năng phân tích ứng dụng công nghệ trong các bài toán cụ thể","Thời gian làm việc: 8h00- 17h30 từ thứ 2 tới thứ 6 Địa điểm làm việc: Làm việc tại tòa nhà văn phòng hạng A cao nhất Thủ đô – Keangnam Landmark 72, Phạm Hùng, Nam Từ Liêm, Hà Nội Mức lương thu hút và cạnh tranh, ứng viên thỏa thuận khi tham gia phỏng vấn Chính sách thưởng hấp dẫn: thưởng theo tháng, thưởng quý, thưởng năm, ngày lễ Tết, ... theo quy định chung của Tập đoàn Viettel Đóng BHXH, BHYT, BHTN theo quy định Nhà nước; khám sức khỏe định kỳ hàng năm Cơ hội tiếp xúc với các dự án lớn, mới mẻ & tham gia xây dựng những sản phẩm lớn và có chỗ đứng trên thị trường Fintech Việt Nam Cơ hội thăng tiến rõ ràng với nhiều cấp bậc Cơ hội ứng tuyển thử sức đi học tập và làm việc tại nước ngoài theo các khóa ngắn hạn, dài hạnvvv Công việc luôn thay đổi, thách thức, không thỏa hiệp với sự lỗi thời. Lãnh đạo trẻ trung, biết lắng nghe và sẵn sàng tạo cơ hội để cá nhân phát triển bản thân. Đồng nghiệp thân thiện và nhiệt tình. Nghỉ dưỡng 3 ngày nguyên lương trong năm, hỗ trợ nghỉ dưỡng lên đến 9 triệu/ người Tham gia các hoạt động thể thao văn hóa, team building, Ngày hội Sáng tạo, giải bóng đá, Viettel’s Got Talent, event quý, event năm, event ngày nghỉ lễ tết,… Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngày Thưởng thức bữa trưa được phục vụ ngay tại VDS, được chọn lọc bởi các chuyên gia dinh dưỡng.",non-existent,"['Java', 'JavaScript', 'Solution Architect']",apply in https://topdev.vn/detail-jobs/2
AI ENGINEER,Viettel Digital,,1,"Phối hợp với các đơn vị trong Tổng công ty để làm rõ nhu cầu ứng dụng AI vào hoạt động sản xuất kinh doanh với các đơn vị. Nghiên cứu các mô hình ứng dụng AI vào hoạt động sản xuất kinh doanh nhằm tối ưu, tang năng suất, giảm chi phí và tăng trải nghiệm trong các hoạt động. Nghiên cứu tìm hiểu các công nghệ AI đáp ứng các bài toán kinh doanh, triển khai được các bài toán AI vào hoạt động sản xuất kinh doanh Nghiên cứu các đối tác cung cấp giải pháp AI, phối hợp với đối tác triển khai giải pháp AI vào hoạt động sản xuất kinh doanh tại tổng công ty Triển khai hạ tầng, cài đặt các platform, frameworks open source cho các ứng dụng AI trên nền tảng on-premise. Thu thập dữ liệu, xử lý dữ liệu, làm sạch dữ liệu, đánh nhãn dữ liệu Đánh giá và tối ưu các mô hình opensource. Xây dựng bộ KPI, cách đo để xác định mức độ thành công của chương trình, dịch vụ hay sản phẩm từ hành vi của khách hàng trên Web/App và các kênh khác (Google Analysis, App Store, Hệ thống quản trị nội bộ, survey người dùng, tương tác mạng xã hội…) Các bài toán cần triển khai: eKYC, Robo Advisor, Chatbot CSKH, Chatbot hỗ trợ nghiệp vụ, Chatbot quy trình,…","Junior, Middle, Senior","Tốt nghiệp đại học loại Khá trở lên.  Ưu tiên học vị tiến sĩ, thạc sĩ các ngành khoa học dữ liệu, thống kê, toán kinh tế, toán tài chính, khoa học máy tính Tiếng Anh tương đương 650+ Toeic Hiểu biết sâu về xác suất thống kê, hiểu sâu về toán là lợi thế Hiểu biết về các mô hình học máy Có khả năng quản lý nhóm thực hiện các yêu cầu phân tích chuyên sâu và phân tích dự đoán Có kinh nghiệm build các mô hình học máy Có kinh nghiệm sử dụng ít nhất một trong các công cụ Tableau, Qlik, PowerBI, Google Data Studio Có kinh nghiệm sử dụng ít nhất một trong các ngôn ngữ Python, R Tinh thần làm việc tự giác, chủ động, nhiệt tình và có kỷ luật","Thời gian làm việc: 8h00- 17h30 từ thứ 2 tới thứ 6 Địa điểm làm việc: Làm việc tại tòa nhà văn phòng hạng A cao nhất Thủ đô – Keangnam Landmark 72, Phạm Hùng, Nam Từ Liêm, Hà Nội Mức lương thu hút và cạnh tranh, ứng viên thỏa thuận khi tham gia phỏng vấn Chính sách thưởng hấp dẫn: thưởng theo tháng, thưởng quý, thưởng năm, ngày lễ Tết, ... theo quy định chung của Tập đoàn Viettel Đóng BHXH, BHYT, BHTN theo quy định Nhà nước; khám sức khỏe định kỳ hàng năm Cơ hội tiếp xúc với các dự án lớn, mới mẻ & tham gia xây dựng những sản phẩm lớn và có chỗ đứng trên thị trường Fintech Việt Nam Cơ hội thăng tiến rõ ràng với nhiều cấp bậc Cơ hội ứng tuyển thử sức đi học tập và làm việc tại nước ngoài theo các khóa ngắn hạn, dài hạnvvv Công việc luôn thay đổi, thách thức, không thỏa hiệp với sự lỗi thời. Lãnh đạo trẻ trung, biết lắng nghe và sẵn sàng tạo cơ hội để cá nhân phát triển bản thân. Đồng nghiệp thân thiện và nhiệt tình. Nghỉ dưỡng 3 ngày nguyên lương trong năm, hỗ trợ nghỉ dưỡng lên đến 9 triệu/ người Tham gia các hoạt động thể thao văn hóa, team building, Ngày hội Sáng tạo, giải bóng đá, Viettel’s Got Talent, event quý, event năm, event ngày nghỉ lễ tết,… Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngày Thưởng thức bữa trưa được phục vụ ngay tại VDS, được chọn lọc bởi các chuyên gia dinh dưỡng.",non-existent,"['Python', 'AI', 'Tableau']",apply in https://topdev.vn/detail-jobs/3
Associate Product Manager,CÔNG TY TNHH MITEK VIỆT NAM,,1,"As a Associate Product Manager, you’ll be: Capture customer needs via user stories & system requirements. Collaborate with Dev teams (Vietnam, US, Europe, APAC) to deliver timely and cost-effective solutions. Represent the voice of the customer and stakeholders when answering questions from the Dev and QA team. Assist with product and team backlog maintenance. Contribute to product discovery efforts with customers and other stakeholders. Support the team to troubleshoot issues. Log and report bugs. Follow MiTek best practices in agile software development. Learn continuously about the industry, the product and product development, applying that learning to improve self and team. Up to two days a week: work a few hours in the evening to co-ordinate with US and UK team members via online meetings. Willingly support the other projects if needed. The candidate can work on one of 3 Projects: Kova, Production Machinery Outputs, MiTek Structure Work primarily on Kova which is web-based software that helps Homebuilders to manage their whole business operation, from acquiring land to offering warranty service post home sale. Work primarily on Production Machinery Outputs which is desktop-based software that drives factory machinery for Roof, Wall and Floor component manufacturers, so that they can achieve high throughput and minimal waste. Work primarily on MiTek Structure which models and designs prefabricated solutions so MiTek customers can manufacture efficiently.","Middle, Senior","Tech skills and experience: 3+ years’ experience in working with software product Experience of using and evaluating software products Ability to plan and organize Strong desire to build a high-quality product Soft skills: Proficiency in English Good problem solving, collaboration, and communication skills Determined and curious Ability to work in a team Nice to have these experiences: Experience in working with teams to build software products is a plus Experience in a previous software product role is a plus Knowledge of Home Building industry, processes, or software a plus Knowledge of Machinery file formats, Component Manufacturing or related software a plus","Extremely competitive salary. 13th month & productivity Bonus. Yearly salary review. Healthcare insurance package. 24/24 Personal accident insurance. State-of-the-art office environment. Yearly outing. Detailed induction, training and on-going career development. Opportunity for overseas training and travel. English training programs. 5-day week. Flexible start-times. Free lunch. Free parking. Full Social Club including gym, zumba, yoga, football, badminton, swimming, tennis.",non-existent,['Project Manager'],apply in https://topdev.vn/detail-jobs/4
"03 Full-Stack Developer (Laravel, VueJS)",Resonance Technology,,1,"Participate in solution analysis and building technical architecture for project requirements. Handle throughout the product development process, diagnose and fix encountered problems. Report and propose improvements to improve project quality. Summarize and report team work.","Junior, Middle, Senior","At least 2 years of experience working with PHP backend framework: Laravel. Having experience in charge of FrontEnd (Bootstrap, jQuery). Have worked on at least 3 projects following the Single Page Application (SPA) model. Have worked with JS frameworks: Vue, React, Angular... (VueJS is an advantage). Proficient in using database management system (SQL, MySQL,...). Experience with Linux and Nginx is an advantage. High sense of responsibility at work. Good problem solving skills and business logic thinking. Experience working in groups (3-5 people). Age requirement: Under 30 years old.","13th month salary Review salary every year Paid leave: 12 days of annual leave Flexible remote working hours Hybrid Work: In office (Mon-Wed); WFH (Thur-Sat morning, 2 Sat/month) Attractive performance bonus Company incentive trips and vacations Social insurance Company trip",non-existent,"['Laravel', 'Full-Stack', 'VueJS']",apply in https://topdev.vn/detail-jobs/5
R&D (System) - (Junior/Middle/Senior),Globaltech,,1,"Collect, search, and research information about information security risks affecting the network security system. Deploy, build and optimize information security monitoring solutions, ensuring information security events are recorded fully and completely. Administration, operation, and maintenance of VMware virtualization systems (vCenter, ESXi). Build labs (Domain Controller, Mail server, Monitoring tools such as: grafana, ELK). Deploy and maintain dev/stg/prod environment.","Junior, Middle, Senior","University degree in IT/Telecommunication or related disciplines. At least 2 years of experience in System Network. Have knowledge of security systems such as: Firewall, IPS/IDS, WAF, Endpoint-EDR. Knowledge of networking and Protocols (TCP, UDP, ICMP, DNS, SMTP, POP3, HTTP/S, VPN, PROXY). Experience using tools such as Kubernetes, Docker or equivalent tools. Experience with source code management tools such as GitHub, GitLab, Bitbucket or equivalent. Experience deployment open source such as pfsense, Hyper-V. Have knowledge and use of programming languages such as Python, Perl, Bash shell, Powershell, … Meticulous, careful and follow the process dev/staging/prod environment. Good communication, listening and interpersonal skills.","Được ghi nhận, thưởng theo năng lực và hiệu quả công việc hàng quý/năm và theo quy định của Công ty Được cung cấp trang thiết bị làm việc (Macbook, Laptop, LCD 24”…) Được xem xét tăng lương ít nhất 1 năm/lần tùy vào năng lực và mức độ tiềm năng của Bạn Hỗ trợ chi phí đi công tác Môi trường, điều kiện làm việc chuyên nghiệp, tiện nghi, hiện đại, rộng rãi, thân thiện với môi trường, chuẩn văn phòng hạng B+ Chế độ nghỉ phép và bảo hiểm (BHXH-BHYT-BHTN) theo quy định pháp luật Được mua bảo hiểm sức khoẻ cao cấp (Bảo hiểm Tai nạn tối đa 100 triệu đồng/người/năm, trợ cấp trong thời gian nghỉ điều trị tai nạn tối đa 180 ngày/năm/người; Điều trị nội trú do ốm đau, bệnh tật, thai sản tối đa 70 triệu đồng/năm/người; Điều trị ngoại trú, bệnh tật, nha khoa…) cho nhân sự và người thân Phụ cấp ăn sáng, ăn trưa và tiền gửi xe Thưởng Lễ, Tết, Sinh nhật, Kết hôn,... Teambuilding/quý, Du lịch/năm Được đánh giá năng lực làm việc theo quý/năm và nâng cấp bậc trong công việc; làm việc, cộng tác cùng đội ngũ nhân sự chất lượng cao, chuyên gia theo mô hình quản trị dựa trên OKRs, CFRs, SAFe; nhiều cơ hội phát triển năng lực, thăng tiến sự nghiệp dựa trên năng lực và giá trị của bản thân Được xem xét tài trợ kinh phí các chương trình đào tạo, tham gia hội thảo trong nước và quốc tế giúp nâng cao năng lực, phục vụ công việc",Round 1 : Round 1: Hr Interview Round 2 : Round 2: Technical leader Interview,"['Network', 'System Engineer', 'System Architect']",apply in https://topdev.vn/detail-jobs/6
Business Analyst - Solution (Middle/Senior),Globaltech,,1,"Collect and analyze the requirements for product and solution from internal/external customer through research, interviews, and regular feedbacks are achieved; service quality and customer expectations are met or exceeded. Provide professional documentation for product and solution such as BRD, Business workflow/data flow. Develop requirements specification analysis documents(SRS). Maintain expertise and knowledge of business domain, technologies, and solutions. Produce detailed product and functional requirements that will drive product development, testing and deployment. Assist in designing and implementing risk management solutions, including process. Support developers and testers to successfully deploy projects. Coordinate with designers to build UI/UX, prototype, mockup, wireframe.","Middle, Senior","University degree in IT or related disciplines. At least 3 years of experience as a BA Solution. Having good knowledge of UML and experience using wireframes and use case tools is a plus. Having an understanding of UX/UI and user behavior is an advantage. Effective communication and presentation skills, adept at conveying and collaborating on technical aspects. Demonstrated proficiency in data analysis and problem-solving roles. Good communication, listening and interpersonal skills.","Được ghi nhận, thưởng theo năng lực và hiệu quả công việc hàng quý/năm và theo quy định của Công ty Được cung cấp trang thiết bị làm việc (Macbook, Laptop, LCD 24”…) Được xem xét tăng lương ít nhất 1 năm/lần tùy vào năng lực và mức độ tiềm năng của Bạn Hỗ trợ chi phí đi công tác Môi trường, điều kiện làm việc chuyên nghiệp, tiện nghi, hiện đại, rộng rãi, thân thiện với môi trường, chuẩn văn phòng hạng B+ Chế độ nghỉ phép và bảo hiểm (BHXH-BHYT-BHTN) theo quy định pháp luật Được mua bảo hiểm sức khoẻ cao cấp (Bảo hiểm Tai nạn tối đa 100 triệu đồng/người/năm, trợ cấp trong thời gian nghỉ điều trị tai nạn tối đa 180 ngày/năm/người; Điều trị nội trú do ốm đau, bệnh tật, thai sản tối đa 70 triệu đồng/năm/người; Điều trị ngoại trú, bệnh tật, nha khoa…) cho nhân sự và người thân Phụ cấp ăn sáng, ăn trưa và tiền gửi xe Thưởng Lễ, Tết, Sinh nhật, Kết hôn,... Teambuilding/quý, Du lịch/năm Được đánh giá năng lực làm việc theo quý/năm và nâng cấp bậc trong công việc; làm việc, cộng tác cùng đội ngũ nhân sự chất lượng cao, chuyên gia theo mô hình quản trị dựa trên OKRs, CFRs, SAFe; nhiều cơ hội phát triển năng lực, thăng tiến sự nghiệp dựa trên năng lực và giá trị của bản thân Được xem xét tài trợ kinh phí các chương trình đào tạo, tham gia hội thảo trong nước và quốc tế giúp nâng cao năng lực, phục vụ công việc",Round 1 : Round1: Hr interview Round 2 : Round 2: Technical leader interview,"['Business Analyst', 'Technical Writer', 'Commucation']",apply in https://topdev.vn/detail-jobs/7
SENIOR FULL-STACK DEVELOPER,SECOMUS Technology,Lên tới 4******* VND,0,"1. Application Development: Collaborate with cross-functional teams to design and implement new features and functionalities for our SaaS platform. Write clean, maintainable, and efficient Laravel (PHP) code to meet project requirements (especially for systems with high request volume and heavy loads.). 2. Scalability Planning: Develop and execute a scalable infrastructure strategy to support the continued growth of our platform. Implement technologies and practices that facilitate seamless horizontal and vertical scaling of our system. 3. Optimization and Performance Improvement: Identify and address performance bottlenecks in the application architecture to improve system speed and responsiveness. Implement best practices for code optimization and database management to enhance overall system efficiency. 4. Technical Leadership: Provide technical guidance and mentorship to junior developers, sharing best practices and fostering a culture of continuous learning and improvement. Collaborate with team members to review code, provide feedback, and ensure adherence to coding standards and best practices. 5. Collaboration and Communication: Work closely with product managers, designers, and other stakeholders to translate business requirements into technical solutions. Communicate effectively with team members to coordinate development tasks, provide status updates, and resolve technical issues.",Senior,"Bachelor's degree in Computer Science, Engineering, or a related field. 5+ years of experience in full-stack web development , with expertise in Laravel (PHP) and HTML/ CSS/ SASS, JS/ JQuery/ ReactJS / NodeJS. MySQL, MongoDB, Redis. Strong proficiency in MySQL, MongoDB, and cloud hosting platforms (e.g., DigitalOcean). Experience with system optimization, performance tuning, and scalability principles. Excellent problem-solving skills and attention to detail. Strong communication and collaboration skills. Priority will be given to candidates with knowledge of algorithms, strong logical thinking, performance optimization skills, and good code organization.","Competitive Salary: Up to 45.000.000 VND/Month + Bonus on performance. Salary review after 06 months. Health insurance package. Health insurance package. Dynamic and fast-developing working environment. Dancing classes, swimming, gym training, and other activities sponsored by the company.",Round 1 : Phỏng vấn trực tiếp,"['Laravel', 'Full-Stack', 'ReactJS']",apply in https://topdev.vn/detail-jobs/8
"SOFTWARE ENGINEER (C#,.NET)",Công ty Cổ phần bGlobal,Lên tới 3******* VND,0,"Có ít nhất 2 năm kinh nghiệm lập trình C#, .NET Thành thạo lập trình hướng đối tượng, Linq và entity framework. Từng làm việc với SQL server hoặc MySQL, thành thạo Window form, WPF Có khả năng tự tìm hiểu, giải quyết vấn đề Tinh thần trách nhiệm cao trong công việc Thành thạo sử dụng GIT Ưu tiên ứng viên có kinh nghiệm sử dụng Docker, Monitor log, CI/CD, sử dụng server môi trường Linux. Tốt nghiệp ĐH chuyên ngành công nghệ thông tin hoặc liên quan Thành thạo về lập trình, có khả năng tư duy logic, hệ thống, thuật toán tốt. Khả năng tìm hiểu vấn đề tốt. -Khả năng làm việc nhóm, chịu được áp lực công việc. Tinh thần trách nhiệm cao trong công việc.","Middle, Senior","Mức lương khởi điểm hấp dẫn, cạnh tranh, tương xứng với năng lực và kinh nghiệm làm việc. Thưởng lương tháng thứ 13; Thưởng hiệu quả công việc. Xét tăng lương theo năng lực và kết quả công việc 6 tháng/ lần Bảo hiểm và các chính sách đãi ngộ: Bảo hiểm xã hội, Bảo hiểm y tế, Bảo hiểm thất nghiệp theo chế độ nhà nước ban hành. Mua bảo hiểm sức khỏe mở rộng hàng năm tại bệnh viện lớn và uy tín. Đào tạo liên tục về chuyên môn cũng như các kỹ năng mềm. Làm việc trong tập thể những người trẻ năng động, cá tính, máu lửa và nhiệt huyết trong công việc. Môi trường làm việc mở, khuyến khích tối đa sự sáng tạo của nhân viên. Du lịch, tham gia các hoạt động TeamBuilding trong năm. Cung cấp đầy đủ trang thiết bị phục vụ công việc. Miễn phí đồ ăn, uống tại pantry và sách tại thư viện công ty. Làm việc từ Thứ 2 - Thứ 6 (Nghỉ Thứ 7, Chủ Nhật)",non-existent,Round 1 : Làm bài test kỹ thuật và phỏng vấn trực tiếp với Techlead,"['C#', 'SQL', '.NET']",apply in https://topdev.vn/detail-jobs/9
